Commuter,Origen,Origen_LA,Destination,Destination_LA,Travel_time
1425,(house 165),Salford,(place 1235),Salford,3
1609,(house 433),Manchester,(place 1225),Manchester,3
2679,(house 356),Trafford,(place 1235),Salford,3
1531,(house 138),Salford,(place 1235),Salford,4
1508,(house 104),Salford,(place 1227),Bury,4
1505,(house 122),Salford,(place 1235),Salford,4
1785,(house 605),Manchester,(place 1225),Manchester,4
3137,(house 772),Oldham,(place 1232),Oldham,4
2537,(house 952),Bury,(place 1228),Bury,4
2515,(house 918),Bury,(place 1227),Bury,4
1425,(place 1235),Salford,(place 1235),Salford,2
1537,(house 553),Manchester,(place 1225),Manchester,4
1313,(house 210),Salford,(place 1235),Salford,4
1383,(house 118),Salford,(place 1235),Salford,4
1875,(house 490),Manchester,(place 1227),Bury,4
1862,(house 422),Manchester,(place 1225),Manchester,5
1537,(place 1225),Manchester,(place 1225),Manchester,2
2131,(house 1145),Tameside,(place 1225),Manchester,5
2033,(house 1099),Tameside,(place 1229),Tameside,5
2249,(house 1099),Tameside,(place 1229),Tameside,5
1785,(place 1225),Manchester,(place 1225),Manchester,2
2515,(place 1227),Bury,(place 1227),Bury,2
2348,(house 886),Bury,(place 1227),Bury,5
3294,(house 749),Oldham,(place 1231),Oldham,5
2121,(house 1193),Tameside,(place 1229),Tameside,5
1731,(house 407),Manchester,(place 1227),Bury,5
2307,(house 871),Bury,(place 1227),Bury,5
1327,(house 163),Salford,(place 1235),Salford,5
3195,(house 745),Oldham,(place 1231),Oldham,5
1367,(house 172),Salford,(place 1227),Bury,5
2339,(house 892),Bury,(place 1227),Bury,5
1827,(house 513),Manchester,(place 1225),Manchester,5
2806,(house 311),Trafford,(place 1237),Trafford,5
1707,(house 543),Manchester,(place 1225),Manchester,5
1386,(house 169),Salford,(place 1227),Bury,5
2142,(house 1215),Tameside,(place 1229),Tameside,5
1581,(house 601),Manchester,(place 1228),Bury,5
1430,(house 214),Salford,(place 1235),Salford,5
1499,(house 160),Salford,(place 1235),Salford,5
1917,(house 468),Manchester,(place 1227),Bury,5
1251,(house 172),Salford,(place 1227),Bury,5
2048,(house 1213),Tameside,(place 1229),Tameside,5
2319,(house 955),Bury,(place 1227),Bury,5
1589,(house 543),Manchester,(place 1225),Manchester,5
2316,(house 892),Bury,(place 1227),Bury,5
2651,(house 352),Trafford,(place 1237),Trafford,5
2782,(house 316),Trafford,(place 1237),Trafford,5
