"BehaviorSpace results (NetLogo 6.1.1)"
"TramCommute.nlogo"
"Tram_Commute_Initial_Parameter_Sweep"
"02/11/2020 17:05:56:445 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-90","90","-90","90"
"[run number]","1","2"
"Export_Data?","true","true"
"Number_Generated_LAs","5","5"
"Garrulous?","false","false"
"Number_Generated_Places","17","17"
"Label_Tramstops?","false","false"
"projection","GM_LAs","GM_LAs"
"Tram_Commute_Only?","true","false"
"Label_LAs?","false","false"
"Output_File","Test","Test"
"Max_Random_Population","150","150"
"Reduce_Pop_For_Display?","true","true"
"Number_Generated_Tramstops","25","25"
"[steps]","1000","1000"

"[initial & final values]","count tramstops","count tramstops"
,"93","93"
