"Abraham Moss","Crumpsall","Queen's Road"
"Manchester Airport","Shadowmoss"
"Altrincham","Navigation Road"
"Ashton Moss","Ashton West","Audenshaw"
"Anchorage","Habour City","Salford Quay"
"Audenshaw","Droylsden","Ashton Moss"
"Ashton-Under-Lyne","Ashton West"
"Ashton West","Ashton Moss","Ashton-Under-Lyne"
"Baguley","Roundthorn","Moor Road"
"Barlow Moor Road","St Werburgh's Road","Sale Water Park"
"Brooklands","Timperley","Sale"
"Benchill","Crossacres","Martinscroft"
"Burton Road","West Didsbury","Withington"
"Besses o'th'Barn","Prestwich","Whitefield"
"Bowker Vale","Crumpsall","Heaton Park"
"Bury","Radcliffe"
"Broadway","Langworthy","MediaCityUK","Harbour City"
"Cemetery Road","Edge Lane","Droylsden"
"Chorlton","St Werburgh's Road","Firswood"
"Clayton Hall","Edge Lane","Velopark"
"Cornbrook","Pomona","Trafford Bar","Deansgate-Castlefield"
"Crumpsall","Bowker Vale","Abraham Moss"
"Crossacres","Wythenshawe Town Centre","Benchill"
"Central Park","Monsall","Newton Heath and Moston"
"Derker","Oldham Mumps","Shaw and Compton"
"Didsbury Village","East Didsbury","West Didsbury"
"Dane Road","Sale","Stretford"
"Droylsden","Cemetery Road","Audenshaw"
"Eccles","Ladywell"
"Etihad Campus","Holt Town","Velopark"
"East Didsbury","Didsbury Village"
"Edge Lane","Cemetery Road","Clayton Hall"
"Exchange Quay","Salford Quays","Pomona"
"Exchange Square","St Peter's Square","Victoria"
"Firswood","Trafford Bar","Chorlton"
"Freehold","South Chadderton","Westwood"
"Failsworth","Hollinwood","Newton Heath and Moston"
"Deansgate - Castlefield","St Peter's Square","Cornbrook"
"Harbour City","Anchorage","MediaCityUK","Broadway"
"Heaton Park","Bowker Vale","Prestwich"
"Hollinwood","Failsworth","South Chadderton"
"Holt Town","New Islington","Etihad Campus"
"Kingsway Business Park","Milnrow","Newbold"
"Ladywell","Eccles","Weaste"
"Langworthy","Weaste","Broadway"
"MediaCityUK","Harbour City","Broadway"
"Martinscroft","Roundthorn","Benchill"
"Milnrow","Newhey","Kingsway Business Park"
"Market Street","St Peter's Square","Shudehill","Picadilly Gardens"
"Monsall","Central Park","Victoria"
"Moor Road","Baguley","Wythenshawe Park"
"Navigation Road","Altrincham","Timperley"
"Newbold","Rochdale Railway Station","Kingsway Business Park"
"Newton Heath & Moston","Central Park","Failsworth"
"Newhey","Milnrow","Shaw and Compton"
"New Islington","Holt Town","Picadilly"
"Northern Moor","Sale Water Park","Wythenshawe Park"
"Oldham King Street","Oldham Central","Westwood"
"Old Trafford","Trafford Bar","Stretford"
"Oldham Central","Oldham King Street","Oldham Mumps"
"Oldham Mumps","Oldham Central","Derker"
"Piccadilly Gardens","St Peter's Square","Picadilly","Market Street"
"Piccadilly","Picadilly Gardens","New Islington"
"Peel Hall","Shadowmoss","Robinswood Road"
"Pomona","Exchange Quay","Cornbrook"
"Prestwich","Heaton Park","Besses o'th'Barn"
"Queens Road","Victoria","Abraham Moss"
"Radcliffe","Whitefield","Bury"
"Rochdale","Rochdale Railway Station"
"Roundthorn","Baguley","Martinscroft"
"Rochdale Railway Station","Rochdale","Newbold"
"Robinswood Road","Peel Hall","Wythenshawe Town Centre"
"South Chadderton","Hollinwood","Freehold"
"Shadowmoss","Manchester Airport","Peel Hall"
"Stretford","Dane Road","Old Trafford"
"Shaw and Crompton","Newhey","Derker"
"Shudehill","Victoria","Market Street"
"Sale","Brooklands","Dane Road"
"Salford Quays","Anchorage","Exchange Quay"
"St Peter's Square","Picadilly Gardens","Market Street","Deansgate-Castlefield","Exchange Square"
"St Werburgh's Road","Withington","Barlow Moor Road","Chorlton"
"Sale Water Park","Northern Moor","Barlow Moor Road"
"Timperley","Brooklands","Navigation Road"
"Trafford Bar","Old Trafford","Cornbrook"
"Victoria","Monsall","Queen's Road","Market Street","Exchange Square"
"Velopark","Clayton Hall","Etihad Campus"
"Whitefield","Radcliffe","Besses o'th'Barn"
"Withington","St Werburgh's Road","Burton Road"
"Wythenshawe Park","Northern Moor","Moor Road"
"Weaste","Ladywell","Langworthy"
"West Didsbury","Didsbury Village","Burton Road"
"Westwood","Oldham King Street","Freehold"
"Wythenshawe Town Centre","Crossacres","Robinswood Road"
